#Activity	cycling 
#ActivityID	9 
#Date 10-10-13-03
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8328	-832	13132	-16	165	-184	-15732	-528	-4904	431	24	-68	-15784	4256	-1784	902	66	392	-9216	4500	12956	72	-169	-140	-16296	1632	-4200	463	-206	67	-16508	-556	376	631	-174	70	124	126	9
-8316	-872	13200	-26	213	-243	-15632	-392	-4724	33	-44	17	-16236	4152	-1772	729	139	511	-9108	4544	12936	91	-134	-152	-16340	1568	-3892	434	-192	103	-16492	-644	740	515	-189	43	133	125	9
-8272	-980	13108	-52	207	-209	-15640	-600	-4452	-176	-53	-32	-15812	3796	-1392	520	79	454	-9036	4588	13120	130	-138	-128	-16236	1672	-3808	149	-65	77	-16348	-668	600	591	-116	196	127	126	9
-8268	-1092	13120	-18	163	-174	-15604	-728	-4336	-32	-4	-81	-15804	3448	-1232	599	-22	390	-9132	4564	13032	163	-88	-167	-16284	1596	-3816	93	-65	106	-16348	-704	552	649	-326	284	129	124	9
-8316	-1052	13300	-10	193	-167	-15756	-724	-4604	405	85	-73	-15928	3560	-1568	796	-68	322	-9096	4696	13044	161	-90	-179	-16220	1788	-3900	244	-36	157	-16328	-344	148	865	-285	233	125	127	9
-8256	-1112	13124	24	194	-72	-15824	-728	-4496	628	71	23	-15964	4016	-2152	960	-14	377	-9136	4624	12864	147	-115	-163	-16240	2076	-4144	-17	-161	108	-16272	-320	-308	729	-153	208	121	127	9
-8432	-1012	13092	87	234	-34	-15780	-760	-5032	482	-67	9	-15768	4340	-2632	900	59	430	-9308	4528	12864	86	-151	-165	-16216	1920	-4300	-4	-165	19	-16148	-412	116	408	-47	266	129	125	9
-8436	-860	13184	63	227	-56	-15372	-676	-5112	439	-195	54	-15476	4368	-2308	680	90	460	-9140	4488	13056	48	-121	-155	-16260	1548	-3996	137	-212	59	-16424	-516	504	395	-49	236	127	130	9
-8324	-648	13056	1	211	-165	-15420	-504	-5024	369	-318	42	-15672	4392	-1172	618	52	474	-9164	4664	12908	113	-136	-138	-16268	1508	-3616	416	-210	106	-16504	-372	912	579	-182	190	130	128	9
-8288	-852	13136	-64	238	-196	-15824	-340	-4580	87	-267	61	-16044	4168	-1128	603	-13	366	-9144	4668	12944	131	-77	-106	-16228	1760	-3556	229	-58	117	-16404	4	1100	746	-372	332	125	134	9
-8272	-964	13100	-129	213	-237	-15732	-444	-4240	-168	-188	-80	-16132	3768	-1136	433	-29	339	-9120	4624	13000	112	-116	-170	-16148	1696	-3912	-26	65	80	-16344	-300	376	545	-247	451	135	128	9
-8284	-1020	13168	-96	229	-243	-15388	-744	-4080	69	13	-164	-15920	3512	-1092	455	-220	229	-9200	4528	13036	134	-129	-150	-16204	1556	-4184	254	82	102	-16416	-564	364	539	-215	319	124	126	9
-8452	-1048	13160	-53	215	-177	-15752	-872	-4596	270	110	-76	-15776	3716	-1796	517	-78	164	-9208	4532	13076	104	-125	-110	-16348	1740	-3960	519	-81	168	-16360	-388	572	414	-221	139	130	129	9
-8488	-948	13108	-33	128	-188	-15680	-760	-4732	262	115	-26	-15700	4076	-2176	222	-68	178	-9204	4568	13004	107	-131	-103	-16180	1544	-3988	428	6	176	-16356	-304	492	251	-183	156	131	127	9
-8368	-1024	13060	57	99	-199	-15448	-652	-4812	-43	63	15	-15884	3780	-2040	94	-137	227	-9140	4664	13040	142	-118	-118	-16312	1728	-3660	51	124	149	-16436	-92	484	276	-141	292	129	124	9
-8336	-956	13108	3	114	-226	-15724	-592	-4816	147	35	47	-16112	3908	-1644	339	-163	287	-9124	4528	13008	119	-58	-167	-16340	1696	-3596	-276	235	153	-16404	-364	712	289	-226	354	130	127	9
-8276	-840	13140	-56	157	-186	-15880	-560	-4620	185	46	64	-16192	3936	-1756	573	-105	332	-9236	4688	13044	192	-107	-158	-16176	1600	-3992	-152	210	173	-16424	-500	244	388	-293	398	129	125	9
-8356	-944	13072	-50	218	-233	-15652	-648	-4620	79	60	37	-15892	3832	-1420	403	-135	439	-9088	4392	13032	154	-108	-191	-16248	1676	-4344	-117	138	273	-16296	-752	424	415	-291	423	129	127	9
-8272	-1028	13080	-24	128	-187	-15596	-852	-4428	112	83	83	-15872	3676	-1352	426	-146	409	-9096	4448	13032	182	-137	-97	-16388	1256	-4132	470	10	292	-16340	-900	308	685	-257	485	124	124	9
-8396	-952	13132	57	62	-175	-15448	-1060	-4412	334	149	117	-15684	3224	-2044	696	-130	532	-9072	4596	13000	188	-143	-150	-16204	1664	-4060	237	-61	333	-16408	-752	356	823	-257	530	132	123	9
-8384	-960	13200	139	18	-120	-15640	-896	-4624	640	204	207	-15624	3760	-1824	1004	-173	450	-9120	4388	12904	186	-111	-91	-16172	1488	-4008	161	-52	331	-16320	-500	696	1028	-295	554	126	129	9
-8368	-820	13232	149	60	-130	-15792	-456	-4760	557	222	263	-15972	4016	-1900	995	-102	560	-9164	4688	13104	226	-64	-89	-16392	1680	-3964	167	-79	346	-16620	-396	400	1149	-330	628	130	131	9
-8240	-916	13160	120	144	-177	-15732	-376	-4648	304	159	268	-16096	4276	-1772	979	-155	643	-9164	4640	12940	201	-18	-60	-16284	1808	-3928	168	-57	326	-16440	-16	580	1355	-461	671	130	132	9
-8352	-804	13200	81	229	-162	-15696	-416	-4540	183	147	181	-15868	4064	-1616	935	-188	714	-9220	4716	12984	167	-22	-114	-16220	1884	-3780	71	-46	310	-16156	208	412	1429	-362	803	126	127	9
-8432	-884	13168	23	146	-162	-15492	-856	-4616	180	178	170	-15892	4080	-1692	1029	-194	687	-9144	4484	13032	160	-98	-147	-16260	1740	-4192	-6	8	281	-16312	-248	316	1276	-252	914	129	122	9
-8464	-928	13140	74	104	-196	-15544	-772	-4980	498	111	212	-15428	4308	-2332	793	-109	550	-9180	4404	13032	143	-129	-103	-16200	1452	-4256	541	-157	293	-16420	-552	396	1175	-41	782	130	122	9
-8368	-836	13172	48	41	-186	-15556	-600	-4832	545	75	241	-15556	4000	-2288	652	-192	505	-9128	4548	13016	191	-118	-30	-16300	1540	-4292	739	-311	385	-16400	-576	348	1220	24	772	131	126	9
-8384	-984	13156	42	19	-236	-15568	-716	-4724	727	5	263	-15936	3940	-1748	847	-334	543	-9152	4496	13068	239	-78	-55	-16252	1508	-3956	773	-276	379	-16604	-392	640	1212	-20	487	132	128	9
-8256	-948	13096	34	72	-194	-15776	-544	-4768	1177	65	213	-16164	4104	-1416	1244	-348	422	-9148	4672	12936	317	-134	-80	-16172	1652	-3596	672	-188	447	-16356	192	1144	1037	-324	387	127	127	9
-8320	-792	13140	-33	101	-214	-15700	-160	-4772	948	101	235	-15908	4828	-1312	1049	-371	354	-9096	4656	12804	357	-103	-74	-16132	2000	-3412	401	17	358	-16316	752	940	1042	-651	558	135	124	9
-8264	-888	13196	-53	167	-188	-15564	20	-4752	197	58	57	-15456	4960	-1824	501	-348	302	-9132	4688	12956	276	-106	-139	-16280	1996	-3644	143	188	369	-16252	804	636	844	-700	658	123	125	9
-8196	-992	13204	-65	287	-163	-15860	-592	-4784	-29	-17	-36	-15532	4432	-2780	156	-112	266	-9112	4744	12956	177	-94	-180	-16248	2120	-4112	-86	196	256	-16716	88	436	400	-517	627	129	121	9
-8348	-860	13124	-114	302	-143	-15820	-1128	-5408	389	-138	23	-15596	4184	-3048	208	-139	213	-9204	4612	12956	121	-137	-207	-16280	1620	-4636	-11	25	243	-16516	-876	76	413	-241	412	129	127	9
-8368	-760	13148	-107	150	-198	-15320	-732	-5128	909	-346	256	-15672	3760	-2352	569	-14	352	-9280	4324	13060	173	-165	-118	-16216	1332	-4608	784	-276	355	-16552	-832	244	845	-196	101	128	127	9
-8368	-872	13180	-157	46	-276	-15124	-360	-4580	1382	-345	196	-15880	3688	-820	1060	-286	469	-9128	4568	12992	225	-57	-98	-16424	1572	-4080	1102	-409	426	-16564	48	876	1116	-325	-84	128	126	9
-8252	-900	13240	-150	152	-272	-16032	-488	-4352	1479	-156	115	-16260	3960	-604	1501	-431	296	-9136	4576	12968	302	-64	-46	-16208	1900	-3188	1006	-212	371	-16276	916	1492	1016	-760	13	134	126	9
-8272	-972	13232	-156	284	-241	-16248	-348	-4244	1239	41	50	-16052	4572	-1056	1082	-412	91	-9076	5196	12876	204	-82	-85	-16016	2436	-3088	332	69	258	-15884	1388	608	739	-987	635	130	127	9
-8272	-880	13176	-166	417	-195	-15324	-108	-4672	558	95	-74	-15744	4576	-1612	723	-338	-70	-9244	4740	12844	57	-186	-227	-16124	2400	-3968	-467	343	96	-16184	996	184	416	-1066	1013	129	123	9
-8296	-800	13232	-151	378	-149	-15572	-668	-5120	425	4	-126	-15560	4792	-1920	318	-242	-80	-9196	4772	12888	-88	-225	-269	-16512	2036	-4488	120	115	-28	-16056	804	40	415	-970	1005	129	122	9
-8328	-908	13064	-175	358	-202	-15664	-616	-5148	286	-156	-117	-15804	4400	-2308	-86	-142	81	-9236	4556	12944	-83	-258	-285	-16208	1972	-4444	-125	-75	-101	-16504	-200	64	-92	-196	438	129	127	9
-8336	-976	13180	-157	434	-197	-15992	-844	-5184	85	-352	-152	-16080	3804	-2620	336	-29	316	-9092	4304	12916	-33	-233	-283	-16280	1396	-4316	-432	-223	-144	-16408	-300	940	-333	-56	155	129	127	9
-8420	-1020	13276	-163	636	-161	-16236	-984	-4852	263	-469	67	-16252	3804	-2588	869	22	287	-9036	4620	12972	70	-230	-152	-16092	1372	-3572	-329	-194	-80	-16168	68	1628	-261	-235	117	130	119	9
-8448	-876	13096	-176	709	-170	-15756	-524	-4772	359	-493	100	-15952	4304	-1560	1020	-42	372	-8880	4720	12872	8	-106	-277	-16384	2136	-2916	-860	32	17	-16484	624	1360	-175	-410	412	127	129	9
-8388	-764	13148	-223	709	-217	-14888	-292	-4536	30	-492	92	-16072	4436	-1488	887	-7	476	-9028	4940	12952	-139	-105	-550	-16408	2544	-3912	-2159	38	-61	-16540	484	364	-3	-212	553	130	120	9
-8440	-1016	13164	-238	734	-255	-15776	-540	-4332	-540	-312	-1	-15972	4472	-1484	315	-89	330	-9196	4672	12916	-152	-114	-536	-16196	1652	-4448	-1823	-61	-236	-16192	24	180	-312	144	504	128	128	9
-8484	-1052	13148	-171	723	-204	-15928	-788	-4436	-953	-218	-88	-15784	4364	-1844	-337	-272	-3	-9208	3968	13032	-199	-161	-445	-15944	1060	-4300	-985	-321	9	-16136	-236	1012	-552	189	80	128	124	9
-8564	-944	13084	-92	674	-187	-15840	-496	-4664	-1660	-258	5	-15980	4344	-1652	-1016	-156	-115	-9100	4472	13012	-53	-156	-299	-16264	1504	-3504	-1207	-168	-1	-16340	264	1848	-888	38	74	128	131	9
-8496	-792	12984	-72	630	-217	-15444	-184	-4696	-2422	-239	-74	-15752	4276	-1392	-1739	-230	-61	-9056	4656	12952	151	80	-290	-16356	1592	-2992	-2009	134	27	-16416	684	2056	-947	-297	309	130	128	9
-8404	-792	13224	-81	748	-273	-15628	-128	-4636	-2447	-135	-187	-15876	4200	-736	-1909	-409	-156	-8844	5036	12948	95	285	-446	-16476	2120	-2584	-2747	378	-9	-16644	840	1904	-1031	-392	457	126	123	9
-8428	-676	13128	-114	952	-369	-15704	20	-4016	-2772	21	-256	-16196	4316	-1288	-1717	-136	-61	-9228	4740	13032	37	207	-696	-16080	2616	-3896	-4614	812	24	-16544	416	968	-968	-467	762	125	125	9
-8672	-1252	12992	-138	984	-297	-15644	-1088	-4676	-2515	106	-269	-16024	4224	-2728	-1868	-185	114	-9468	4156	12964	-31	74	-590	-16064	1264	-5108	-3106	677	-34	-16076	-844	204	-706	-149	603	131	125	9
