#Activity	cycling  
#ActivityID	9 
#Date 10-10-12-59
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-13332	3932	9356	830	958	577	-13984	-1912	-6888	630	571	490	-14356	-992	5100	1500	252	-192	-12116	1624	3340	555	961	-90	-4580	2260	-14076	426	192	497	-12208	1568	9320	-29	786	-649	131	123	9
-8652	2052	8164	691	75	-60	-12888	-896	-5192	30	531	1197	-12708	-800	4960	1582	300	-250	-15592	1120	5968	808	-75	-194	-4928	2116	-13600	43	-19	764	-11792	1092	9608	264	567	-858	130	122	9
-9604	1148	8144	232	616	-731	-12384	-2356	-4320	796	110	1009	-12108	-660	6616	1583	-66	-162	-12388	148	5292	395	-1036	-175	-5196	1768	-14156	153	-202	1031	-11264	1776	9660	568	252	-884	131	123	9
-11564	1996	5988	761	588	461	-12768	-3036	-5812	1527	-411	-106	-12368	52	7056	883	-180	-135	-16444	396	5840	690	-1091	535	-5224	1352	-14640	831	-19	1020	-10784	1460	9744	906	130	-821	131	124	9
-18080	5428	8376	377	369	493	-13612	-1036	-7252	190	400	-434	-13912	-260	6256	129	63	-211	-11672	904	3276	492	-590	522	-5012	2156	-14164	1689	223	1115	-11796	2108	9580	942	-25	-812	124	125	9
-12132	4336	7504	-91	4	158	-12960	-1300	-6776	-615	470	116	-13764	-532	5632	-65	129	-130	-14352	1196	4284	543	34	395	-5844	2808	-14580	535	222	1118	-12264	2560	9844	1006	-20	-791	123	126	9
-12104	2828	8984	-718	-1564	-686	-12996	-2024	-6304	-1547	487	146	-13896	-1760	5384	352	311	91	-16140	1552	5220	643	515	-209	-5224	2748	-14760	397	164	1195	-12784	3492	9652	819	-30	-722	121	126	9
-15128	744	8316	-1086	-1547	-1332	-13904	-4124	-6084	365	103	-110	-14552	-252	6828	280	270	72	-16820	2020	5240	391	-102	-75	-4652	3324	-16152	300	460	1219	-12668	2688	9612	1179	91	-529	124	124	9
-12620	4460	8924	-594	-692	-626	-16340	-2796	-7076	1386	-115	-589	-16516	-1020	6744	-266	443	-16	-15644	880	4872	182	-1457	475	-4744	2840	-16828	726	574	855	-13616	4144	10060	1011	443	-323	127	125	9
-12324	1976	7792	-178	84	-97	-17460	-1788	-8352	-3	-51	-259	-17368	-1004	7212	-482	308	200	-18064	1300	5208	298	-1317	518	-5016	3440	-17168	1106	694	382	-14500	4744	10188	595	762	-257	130	125	9
