#Activity	cycling  
#ActivityID	9  
#Date 10-10-13-42
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-14136	5172	8996	160	-2855	-2892	-12940	-2384	-8788	3694	4457	-254	-17596	-2404	8632	3818	-9583	-5120	-18512	5316	14828	1697	12144	-5409	-18612	-1688	-8940	4311	-8403	22	-16060	1464	10972	5914	9284	-8979	113	118	9
-17912	1072	8244	-2202	-5120	-4509	-12492	-3832	-11052	3198	3955	-23	-18960	-1652	7908	2730	-9462	-5103	-14216	2544	14708	2468	11969	-5490	-21468	440	-8852	2724	-7432	133	-19596	2112	12024	5858	9258	-9053	111	139	9
-9464	1528	7448	-2614	-8003	-4622	-13860	-7464	-9668	2546	69	-1995	-19684	-1252	5376	1535	-11175	-5141	-20768	3996	14124	3162	13853	-6946	-21932	1364	-9596	2851	-5661	372	-20108	1860	13284	5549	9566	-9756	122	125	9
-10388	-3220	12104	-3790	-10576	-6692	-11444	-3084	-7004	3381	-1452	10	-18308	-2548	5612	852	-13073	-6067	-20996	1724	12408	3063	12592	-8455	-22040	-348	-8340	5975	-4592	1585	-18772	3588	13016	6186	9239	-10687	127	127	9
-5948	-1448	5604	-4328	-8749	-6355	-8440	-5680	-7844	4007	-5118	2006	-15608	-2296	4472	635	-13768	-6470	-24196	9532	15436	3688	11813	-7317	-21900	-428	-8376	6387	-4338	1600	-19200	5620	13300	5055	8459	-10455	129	127	9
-8420	2096	4236	-7317	-11954	-8130	-6788	-6872	-8880	3125	-6744	1546	-13608	-1644	2312	211	-13845	-6605	-20840	948	7528	3482	11458	-7747	-24880	4188	-6156	7543	407	1262	-20444	6424	14580	3519	7922	-10141	123	124	9
-11388	940	2388	-6278	-12892	-7638	-3440	-6176	-9412	4381	-7556	1723	-10884	-1764	672	-269	-13493	-6838	-19756	7080	14292	3435	12621	-7897	-24540	3176	-1604	5397	3326	325	-20580	8476	14372	495	6979	-9013	125	124	9
-4576	1792	1136	-8314	-17534	-9609	-1776	-4068	-7284	1966	-8100	3869	-10296	-2900	-212	477	-12436	-6964	-18840	6468	14464	3126	14095	-9548	-24032	2516	-768	4454	5402	466	-20876	8856	14528	-24	6516	-8795	126	122	9
-3836	-136	1276	-7257	-14839	-8591	-1976	-3932	-4964	4406	-10148	5368	-7844	-2616	-1176	1678	-12337	-7187	-23792	9112	12692	1004	13693	-10764	-23480	3252	-1424	3670	7862	140	-17888	6336	16724	-4232	3984	-6189	119	126	9
-6556	-2004	-580	-7210	-16300	-8591	-176	-5728	-5616	2597	-11618	6005	-6048	-548	-616	1713	-10561	-7747	-24224	9724	10372	1618	13024	-10687	-23976	2672	-3148	4803	10593	92	-17376	6780	15536	-3224	2577	-4756	119	122	9
-12328	2288	2280	-6383	-16128	-6656	676	-5220	-7212	5238	-10579	5676	-4036	-180	-28	1242	-8377	-7777	-19808	7344	10924	-639	12637	-12859	-23644	5452	-1856	5053	12662	-642	-18864	7812	10708	-1043	2365	-2890	150	125	9
-6436	5984	-1872	-5578	-18465	-6159	-1700	-1188	-6752	4291	-11057	6762	-4216	784	1488	850	-6085	-7319	-17504	10088	7156	-4571	14410	-17563	-19832	7556	-3772	2531	14481	-253	-16916	4348	9904	-361	1517	-1180	127	125	9
-5472	-5632	1628	-8269	-17702	-8577	-1476	1340	-2220	961	-11852	6995	-4204	968	2316	1692	-3868	-5455	-24880	11012	9680	-3167	11430	-13997	-18192	2436	-2192	-863	14945	-395	-12340	2956	8952	-795	839	70	132	123	9
-1012	-2048	1508	-8153	-17431	-8420	-2612	1636	-2884	966	-12334	7134	-5652	1212	3160	1096	-2288	-4028	-16904	3592	8420	-6883	14854	-18005	-17620	3060	-4968	-4352	15752	72	-13332	2460	8084	-2228	-1330	1463	128	125	9
-13432	7744	892	-6234	-12540	-5370	-5968	-656	-8956	3097	-13234	6237	-4584	4140	5524	-396	-1038	-2819	-17760	2972	9980	-5582	12219	-13853	-20976	516	-8444	-156	16443	-408	-14976	3004	10248	-2726	-2743	2358	130	125	9
-9212	-1128	2248	-6469	-10080	-5727	-5892	-1564	-9720	3060	-13269	6185	-6264	3144	5352	-1342	174	-1607	-23348	3388	11704	-4215	8788	-10611	-21908	1824	-8328	2199	17335	-315	-15864	3596	10032	-2756	-3301	2397	130	125	9
-6172	2364	6164	-7133	-8231	-4943	-6360	-544	-7028	1911	-13019	4124	-6860	3028	4584	-2211	1209	10	-31988	4064	11948	-4950	8006	-9657	-21716	2916	-8388	815	18588	-1022	-19372	4280	10356	-2987	-3028	2644	141	124	9
