#Activity	walking  
#ActivityID	1 
#Date 08-20-13-03
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-31716	-13228	32767	-13246	-29743	-32768	-32768	3096	-11836	-5723	-32768	22537	-6296	600	-7444	9991	-232	3791	-8832	7488	13672	476	7201	-4927	-17808	4908	-1544	3016	8878	584	-21068	3364	1188	1766	10268	584	146	131	1
-32768	-468	32767	-18613	-31825	-32768	-32768	-11556	-16584	-16629	-32768	24014	-10988	-2776	4840	-1586	-7144	-1379	-8784	8044	13984	-289	9426	-5272	-17116	5472	724	3343	11524	827	-21208	1784	7252	947	9081	2129	121	127	1
-32768	756	23548	-9176	-32768	-24891	-32768	-14092	-23264	-1066	-32768	13824	-31132	-3240	12760	-13061	-17739	-9609	-9180	8280	13896	-394	12096	-6332	-18376	4576	620	-315	15163	342	-20440	-4912	9236	2102	6824	3908	121	120	1
-32768	30052	-5856	-5499	-28278	-10067	-23432	-10416	-32768	-5556	-23275	1537	-25648	-7644	32767	-571	1540	-12460	-9116	7616	14952	-1024	15494	-8364	-21096	2968	-860	1274	17191	1254	-17728	-8120	5376	5719	6350	2668	153	113	1
-32768	32767	-9076	-13048	-2888	-984	-10084	-8392	-32768	-3304	-2364	-508	-10856	21324	32767	28494	20538	6027	-8940	5272	15624	-1970	20747	-9647	-20936	1528	-1784	732	19648	628	-18360	48	3744	7928	8049	294	142	122	1
-32768	22024	-2492	10733	10504	2454	-11252	-20320	-32768	5849	18347	-6037	-20256	23780	24184	25278	11200	8047	-8888	7252	15264	-1048	26202	-11350	-21408	2144	468	-374	22234	477	-20848	5300	6268	8675	7995	-1462	136	123	1
-32768	10312	14356	32767	25166	9715	-19296	-2500	-9764	26669	29123	-12361	-23504	5940	23252	16450	-14359	9206	-10420	8020	14836	2583	31840	-16153	-24228	1800	2096	2419	23710	1564	-21368	1476	7432	8074	3138	-3274	118	127	1
32767	-32768	32767	27855	24652	5122	-32768	32767	32767	32767	4487	-3008	-13720	20804	11872	32767	4064	11865	-10424	11596	15016	5798	32767	-22496	-32768	2072	2652	7689	23294	1600	-27464	-3312	13888	8531	-4358	-6515	111	127	1
-32768	30464	-2472	18610	32767	19548	-6396	-21220	-32768	14094	6520	-13735	-32768	-5828	17208	32767	-12383	-5538	-18484	19176	16340	9154	32767	-32029	-32768	2444	13372	28250	21531	1525	-27396	-5060	12196	11491	-13317	-11572	154	131	1
-18256	-22108	29136	6607	16282	3159	-32768	2108	1612	5811	22829	-15736	-24104	14800	5904	17464	14161	-1755	-32768	21844	20852	9987	32767	-32768	-31380	6848	11064	28185	21382	1343	-20592	-10200	5764	8569	-14411	-9589	107	134	1
-13592	-15760	18364	9623	8718	3867	-11764	2024	-3288	9035	16961	-10765	-5308	7004	-7816	-29459	17942	-15519	-29576	20228	19324	19720	32767	-32768	-26556	16816	2244	18573	23692	-33	-27168	12736	-2788	29382	-15946	-1860	129	137	1
-8700	-9296	17140	7375	2282	2191	-15264	-6280	-4564	-6169	14766	-10102	1308	-15664	-24984	-32768	-4967	-5680	-27272	26544	21664	9973	18720	-32768	-19924	21088	-7556	-4603	23601	2316	-26616	13644	-19488	31344	-13163	335	115	144	1
-9256	-9828	13824	3534	-326	2757	-20792	-3476	-2780	-3332	11636	-7156	-19036	-32768	-2712	17474	10196	582	-31644	32767	18288	-3592	5553	-32768	-19840	4412	-16168	-7003	18330	-331	-28864	1992	-15680	9842	-21333	5421	91	151	1
-5924	-5536	14496	1100	1193	1255	-19156	-916	-1364	-5512	10637	-3733	-26080	3452	-10368	20215	17789	-2936	-3916	32767	13044	-6083	-24282	-2667	-15664	4000	-3416	13606	6016	187	-31136	-2172	-11856	-7337	-29560	4125	71	150	1
