#Activity	walking 
#ActivityID	1 
#Date 10-06-18-19
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-10072	-3552	12272	285	1288	1572	-16176	3092	-1384	-925	7777	1062	-18424	-3276	-3600	1787	17611	-2833	-28780	-2632	21844	28196	-29472	22364	-24000	-7236	-11068	13253	-32768	-5448	-8540	-852	-3616	-12332	-11284	-4119	129	116	1
-10260	-3548	11980	253	1446	1849	-15556	3020	-1456	735	8036	1501	-17392	-2852	488	2772	12478	-2810	-32768	-7592	25448	25809	-31196	20579	-31772	-6432	-18220	18020	-32768	-5056	-12056	-4600	3096	-9549	-12793	-5529	129	118	1
-10428	-4172	12472	403	2142	2094	-16636	2628	-964	535	9340	2401	-17576	-2336	4548	-1586	12006	-2092	-32768	-12140	17832	27273	-32768	27381	-28340	-4712	-18000	25831	-32768	-5325	-12720	-2872	9836	6906	-7046	27	127	124	1
-10484	-4148	12980	843	3556	3273	-17908	2296	-396	779	10948	3476	-19752	-2528	4308	-2178	11545	-2700	-32768	-9204	6400	19633	-32768	25525	-25140	3744	-17464	18301	-32768	-3427	-16712	-3700	10736	16460	499	5071	125	125	1
-10496	-4416	14288	1522	7082	4377	-18920	3448	492	2763	12602	4968	-20796	-980	5220	-2723	8825	-2952	-32768	-18800	-9324	9817	-28101	18839	-21024	272	-20796	8759	-27997	-327	-15276	-6792	15696	6317	2737	3757	127	123	1
-10740	-4300	14892	2363	9855	6091	-18904	3448	1328	6294	14657	5930	-20356	-1248	6976	-4503	6660	-2029	-32768	-28868	-21284	9155	-13402	15641	-11332	-148	-24304	5176	-14167	3104	-15740	-7716	25836	-1286	749	3186	124	115	1
-11372	-4244	15440	3903	14229	8398	-19024	4608	-548	10321	16133	6935	-19284	-3836	4972	-5471	4443	-435	-32768	-32768	-22744	8455	-466	10655	-6764	4904	-22688	-1317	2325	3582	-15356	-8680	26916	-2680	849	2840	126	124	1
-10740	-5356	15248	5738	19137	10363	-20500	4396	-1940	10999	17721	7627	-19768	-6088	3340	-4918	2660	714	-31860	-22132	-14016	-7960	7365	4289	-9004	3260	-21228	-13051	14888	892	-15908	-388	17540	-3007	-3699	2309	126	128	1
-8220	-5136	15308	7287	23698	13709	-21504	5224	-1976	9127	19177	7684	-20392	-3840	3764	-4494	-715	1863	-1644	16504	32767	-8782	5854	-7439	-32092	-18404	32767	-12918	12633	-3917	-10252	1788	-3312	-5006	8846	4441	122	130	1
-9108	-4076	16960	7881	29793	19397	-23584	7652	-304	5455	20790	7675	-22916	-2724	12212	-5630	-9224	3761	-1472	20904	12012	-18405	17002	-32756	-12472	-1116	-1300	-24652	-193	10801	-19752	-7324	1892	-16115	20481	754	128	128	1
-6624	-5820	18484	10347	32767	23987	-29636	10096	8408	-1816	22468	9053	-17004	5864	13068	-2351	-20681	558	-5540	-17964	16976	-3002	20589	-528	-16412	-20932	-760	-11995	13333	-5724	-14224	-3244	5580	-14070	7571	-4076	125	128	1
-11408	-10508	15960	16084	32767	29419	-25408	6960	12612	-8002	26479	6090	-20968	14764	5720	-12419	-9069	6806	-31208	-5968	16456	-4599	16521	-19862	-26100	1588	-5624	-8871	16248	5700	-24768	-17536	5580	-7349	3925	-1664	122	127	1
-32768	-2884	9676	11150	32767	32084	-25236	2576	-6192	-12776	29117	4393	-22752	2468	3448	-29367	-12177	7781	-22540	27580	14888	-9213	12153	-7519	-21724	2656	1224	-7464	15970	6022	-16200	5088	-5268	15545	13358	2219	126	117	1
-32768	-5340	10424	9968	32767	32767	-29892	-568	-7844	-3787	28169	7856	-25528	-9580	-14372	-32768	-15396	6372	-11544	-4416	15540	-11887	7943	-10943	-16304	4688	-4964	-13779	12913	5076	-14312	25328	-8784	5106	10750	9205	128	129	1
-30368	-13860	22200	9378	32767	30818	-24344	2948	-7180	-1883	21041	6881	-25900	-14024	-13540	-15354	-20703	-2884	-14332	4316	11632	-10389	4190	-9745	-17536	1820	-5664	-12680	10327	3234	-16900	4048	-4264	-9747	6584	7498	128	136	1
